PS100;PS80;PS60;PS40;PS20
0;0.857143;0.142857;0;0;
0;0.186813;0.43956;0.274725;0.0989011;
0.758242;0.241758;0;0;0;
0;0.10989;0.362637;0.296703;0.230769;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.747253;0.252747;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.868132;0.131868;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.0549451;0.879121;0.0659341;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.934066;0.0659341;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.758242;0.241758;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.010989;0.934066;0.0549451;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0.0659341;0.505495;0.274725;0.153846;
0.879121;0.120879;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.274725;0.648352;0.0769231;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.351648;0.516484;0.131868;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.21978;0.736264;0.043956;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0.120879;0.747253;0.131868;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.912088;0.0879121;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.868132;0.131868;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0.747253;0.252747;
