POC	Control ON/OFF	SP	PV	PVavg	PID	EST			e	Se	de		no PID		SP	no PID	with PID
	1	3.951	3.63984	3.63984	4.55465	4.2131			0.261374	0.522749	0.130687		3.82931	1	3.951	3.82931	3.63984
8	1	3.951	6.71518	5.17751	-1.01944	0.842619			-2.32191	-4.12107	-1.29164		6.67279	2	3.951	5.25105	5.17751
9	1	3.951	0.408874	3.58796	7.86261	4.2131			2.97539	1.8297	2.64865		4.76248	3	3.951	4.76248	3.58796
10	1	3.951	5.37493	4.0347	1.53059	1.53709			-1.1961	-0.562496	-2.08574		5.24089	4	3.951	4.8820825	4.0347
11	1	3.951	1.91503	3.61077	7.93634	4.2131			1.71021	2.85793	1.45316		4.87589	5	3.951	4.87589	3.61077
12	1	3.951	7.56296	4.26947	-1.05338	0.842619			-3.03405	-3.21016	-2.37213		7.21461	6	3.951	5.2656766667	4.26947
13	1	3.951	0.489466	3.72947	8.97324	4.2131			2.90769	2.60521	2.97087		5.00372	7	3.951	5.00372	3.72947
14	1	3.951	6.04735	4.0192	1.03544	1.03707			-1.76094	-0.91666	-2.33431		5.1949	8	3.951	5.0276175	4.0192
15	1	3.951	1.01608	3.68552	9.60856	4.2131			2.46534	4.01401	2.11314		4.9277	9	3.951	4.9277	3.68552
16	1	3.951	7.30991	4.04796	0.216055	0.842619			-2.82149	-1.62896	-2.64341		6.88622	10	3.951	5.123552	4.04796
17	1	3.951	0.448051	3.7207	10.5285	4.2131			2.94248	4.25599	2.88198		4.90293	11	3.951	4.90293	3.7207
18	1	3.951	5.34418	3.85599	4.03298	4.03716			-1.17027	1.91545	-2.05638		5.05108	12	3.951	4.9152758333	3.85599
19	1	3.951	5.03792	3.94691	4.34296	4.2131			-0.913012	0.0894214	0.128631		4.95487	13	3.951	4.95487	3.94691
20	1	3.951	7.36496	4.19105	-2.12615	0.842619			-2.86772	-5.64602	-0.977355		7.13674	14	3.951	5.1107178571	4.19105
21	1	3.951	0.491689	3.94443	6.4499	4.2131			2.90582	0.165619	2.88677		5.23908	15	3.951	5.23908	3.94443
22	1	3.951	5.53241	4.04368	-0.404223	0.842619			-1.32838	-2.49115	-2.1171		5.89047	16	3.951	5.279791875	4.04368
23	1	3.951	0.468421	3.83337	8.88025	4.2131			2.92537	3.35959	2.12687		5.27844	17	3.951	5.27844	3.83337
24	1	3.951	7.37885	4.03034	-0.802124	0.842619			-2.87939	-2.3992	-2.90238		7.93114	18	3.951	5.4258122222	4.03034
25	1	3.951	0.476986	3.84332	9.73108	4.2131			2.91817	3.43714	2.89878		5.81698	19	3.951	5.81698	3.84332
26	1	3.951	5.78498	3.9404	2.37115	2.3797			-1.54054	0.356066	-2.22936		6.17959	20	3.951	5.8351105	3.9404
27	1	3.951	3.70157	3.92903	5.56124	4.2131			0.209525	0.775115	0.875032		5.75437	21	3.951	5.75437	3.92903
