POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.89;7.16746;7.16746;6.65648;6.66829;;;-0.510985;-0;-0
8;1;5.89;8.95288;8.06017;7.72773;7.74439;;;-1.22515;-0;-0
9;1;5.89;8.99143;8.37059;7.75086;7.76203;;;-1.24057;-0;-0
10;1;5.89;9.56562;8.66935;8.09537;8.02665;;;-1.47025;-0;-0
11;1;5.89;10.2062;8.97672;8.47972;8.02665;;;-1.72648;-0;-0
12;1;5.89;12.4242;9.55129;9.8105;8.02665;;;-2.61367;-0;-0
13;1;5.89;10.354;9.66596;8.56839;8.02665;;;-1.78559;-0;0
14;1;5.89;10.0097;9.70893;8.3618;8.02665;;;-1.64787;-0;0
15;1;5.89;10.3264;9.77753;8.55181;8.02665;;;-1.77454;-0;-0
16;1;5.89;12.3141;10.0312;9.74445;8.02665;;;-2.56963;-0;-0
17;1;5.89;10.0719;10.0349;8.39912;8.02665;;;-1.67275;-0;0
18;1;5.89;9.80858;10.016;8.24115;8.02665;;;-1.56743;-0;0
19;1;5.89;10.0599;10.0194;8.39193;8.02665;;;-1.66796;-0;-0
20;1;5.89;11.9798;10.1594;9.54387;8.02665;;;-2.43591;-0;-0
21;1;5.89;9.75008;10.1321;8.20605;8.02665;;;-1.54403;-0;0
22;1;5.89;9.60393;10.0991;8.11836;8.02665;;;-1.48557;-0;0
23;1;5.89;9.85922;10.085;8.27153;8.02665;;;-1.58769;-0;-0
24;1;5.89;12.1567;10.2001;9.65004;8.02665;;;-2.50669;-0;-0
25;1;5.89;9.97471;10.1882;8.34083;8.02665;;;-1.63388;-0;0
26;1;5.89;9.84734;10.1712;8.2644;8.02665;;;-1.58294;-0;0
27;1;5.89;10.0626;10.166;8.39356;8.02665;;;-1.66904;-0;-0
28;1;5.89;12.2124;10.259;9.68345;8.02665;;;-2.52896;-0;-0
29;1;5.89;10.0957;10.2519;8.41345;8.02665;;;-1.6823;-0;0
30;1;5.89;9.93855;10.2389;8.31913;8.02665;;;-1.61942;-0;0
31;1;5.89;10.731;10.2586;8.79461;8.02665;;;-1.93641;-0;-0
32;1;5.89;12.8606;10.3586;10.0723;8.02665;;;-2.78823;-0;-0
33;1;5.89;10.3383;10.3579;8.55899;8.02665;;;-1.77933;-0;0
34;1;5.89;10.032;10.3463;8.37519;8.02665;;;-1.65679;-0;0
35;1;5.89;9.94273;10.3323;8.32164;8.02665;;;-1.62109;-0;0
36;1;5.89;12.5819;10.4073;9.90512;8.02665;;;-2.67675;-0;-0
37;1;5.89;9.67883;10.3838;8.1633;8.02665;;;-1.51553;-0;0
38;1;5.89;9.17697;10.3461;7.86218;7.86788;;;-1.31479;-0;0
39;1;5.89;9.31606;10.3149;7.94563;7.95608;;;-1.37042;-0;-0
40;1;5.89;11.9179;10.362;9.50675;8.02665;;;-2.41117;-0;-0
41;1;5.89;9.45881;10.3362;8.03129;8.02665;;;-1.42752;-0;0
42;1;5.89;9.45437;10.3117;8.02862;8.02665;;;-1.42575;-0;0
43;1;5.89;9.57631;10.2919;8.10179;8.02665;;;-1.47452;-0;-0
44;1;5.89;12.235;10.343;9.69702;8.02665;;;-2.53801;-0;-0
45;1;5.89;10.6352;10.3505;8.73711;8.02665;;;-1.89807;-0;0
46;1;5.89;10.5162;10.3546;8.66569;8.02665;;;-1.85046;-0;0
47;1;5.89;11.0016;10.3704;8.95694;8.02665;;;-2.04462;-0;-0
48;1;5.89;13.3457;10.4413;10.3634;8.02665;;;-2.98229;-0;-0
49;1;5.89;10.2692;10.4373;8.51753;8.02665;;;-1.75169;-0;0
50;1;5.89;10.2973;10.4341;8.53437;8.02665;;;-1.76291;-0;-0
51;1;5.89;10.6736;10.4394;8.76016;8.02665;;;-1.91344;-0;-0
52;1;5.89;13.1723;10.4988;10.2594;8.02665;;;-2.9129;-0;-0
53;1;5.89;10.8192;10.5056;8.84751;8.02665;;;-1.97167;-0;0
54;1;5.89;10.3467;10.5023;8.56404;8.02665;;;-1.78269;-0;0
55;1;5.89;10.5301;10.5029;8.67409;8.02665;;;-1.85606;-0;-0
56;1;5.89;12.6975;10.5468;9.97451;8.02665;;;-2.72301;-0;-0
57;1;5.89;10.3112;10.5422;8.54272;8.02665;;;-1.76848;-0;0
58;1;5.89;10.1891;10.5354;8.46947;8.02665;;;-1.71965;-0;0
59;1;5.89;10.2426;10.5298;8.50158;8.02665;;;-1.74106;-0;-0
60;1;5.89;12.2125;10.561;9.68348;8.02665;;;-2.52898;-0;-0
61;1;5.89;10.2724;10.5558;8.51942;8.02665;;;-1.75295;-0;0
62;1;5.89;9.89832;10.544;8.29499;8.02665;;;-1.60333;-0;0
63;1;5.89;10.1958;10.5379;8.47345;8.02665;;;-1.7223;-0;-0
64;1;5.89;12.5259;10.5722;9.87156;8.02665;;;-2.65438;-0;-0
65;1;5.89;10.2729;10.5671;8.51976;8.02665;;;-1.75317;-0;0
66;1;5.89;10.1672;10.5604;8.45632;8.02665;;;-1.71088;-0;0
67
