POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0;5.62782;5.62782;1.60556;1.60917;;;-4.02226;-0;-0
8;1;0;2.27098;3.9494;0.934196;1.33122;;;-1.33678;-0;0
9;1;0;0.631056;2.84329;0.606211;1.33122;;;-0.0248448;-0;0
10;1;0;0.702141;2.308;0.620428;1.33122;;;-0.0817128;-0;-0
11;1;0;0.662939;1.97899;0.612588;1.33122;;;-0.0503512;-0;0
12;1;0;0.859582;1.79242;0.651916;1.33122;;;-0.207666;-0;-0
13;1;0;0.645462;1.62857;0.609092;1.33122;;;-0.0363696;-0;0
14;1;0;0.727212;1.5159;0.625442;1.33122;;;-0.10177;-0;-0
15;1;0;0.688732;1.42399;0.617746;1.33122;;;-0.0709856;-0;0
16;1;0;0.872892;1.36888;0.654578;1.33122;;;-0.218314;-0;-0
17;1;0;0.636961;1.30234;0.607392;1.33122;;;-0.0295688;-0;0
18;1;0;0.708994;1.2529;0.621799;1.33122;;;-0.0871952;-0;-0
19;1;0;0.678191;1.20869;0.615638;1.33122;;;-0.0625528;-0;0
20;1;0;0.863291;1.18402;0.652658;1.33122;;;-0.210633;-0;-0
21;1;0;0.602303;1.14524;0.600461;1.33122;;;-0.0018424;-0;0
22;1;0;0.69944;1.11737;0.619888;1.33122;;;-0.079552;-0;-0
23;1;0;0.674892;1.09135;0.614978;1.33122;;;-0.0599136;-0;0
24;1;0;0.859717;1.07848;0.651943;1.33122;;;-0.207774;-0;-0
25;1;0;0.611859;1.05392;0.602372;1.33122;;;-0.0094872;-0;0
26;1;0;0.692375;1.03584;0.618475;1.33122;;;-0.0739;-0;-0
27;1;0;0.642218;1.0171;0.608444;1.33122;;;-0.0337744;-0;0
28;1;0;0.858548;1.00989;0.65171;1.33122;;;-0.206838;-0;-0
29;1;0;0.635118;0.993597;0.607024;1.33122;;;-0.0280944;-0;0
30;1;0;0.702135;0.981452;0.620427;1.33122;;;-0.081708;-0;-0
31;1;0;0.65767;0.968501;0.611534;1.33122;;;-0.046136;-0;0
32;1;0;0.878613;0.965044;0.655723;1.33122;;;-0.22289;-0;-0
33;1;0;0.631182;0.952679;0.606236;1.33122;;;-0.0249456;-0;0
34;1;0;0.679108;0.942908;0.615822;1.33122;;;-0.0632864;-0;-0
35;1;0;0.623079;0.93188;0.604616;1.33122;;;-0.0184632;-0;0
36;1;0;0.85611;0.929354;0.651222;1.33122;;;-0.204888;-0;-0
37;1;0;0.563278;0.917545;0.592656;1.33122;;;0.0293776;-0;0
38;1;0;0.632574;0.90864;0.606515;1.33122;;;-0.0260592;-0;-0
39;1;0;0.602004;0.899348;0.600401;1.33122;;;-0.0016032;-0;0
40;1;0;0.824458;0.897145;0.644892;1.33122;;;-0.179566;-0;-0
41;1;0;0.596963;0.888569;0.599393;1.33122;;;0.0024296;-0;0
42;1;0;0.637513;0.881595;0.607503;1.33122;;;-0.0300104;-0;-0
43;1;0;0.603791;0.874087;0.600758;1.33122;;;-0.0030328;-0;0
44;1;0;0.860429;0.873727;0.652086;1.33122;;;-0.208343;-0;-0
45;1;0;0.566909;0.86586;0.593382;1.33122;;;0.0264728;-0;0
46;1;0;0.668628;0.860929;0.613726;1.33122;;;-0.0549024;-0;-0
47;1;0;0.626369;0.855208;0.605274;1.33122;;;-0.0210952;-0;0
48;1;0;0.864444;0.855428;0.652889;1.33122;;;-0.211555;-0;-0
49;1;0;0.613997;0.849813;0.602799;1.33122;;;-0.0111976;-0;0
50;1;0;0.709341;0.846621;0.621868;1.33122;;;-0.0874728;-0;-0
51;1;0;0.632561;0.841864;0.606512;1.33122;;;-0.0260488;-0;0
52;1;0;0.842447;0.841877;0.648489;1.33122;;;-0.193958;-0;-0
53;1;0;0.603997;0.836815;0.600799;1.33122;;;-0.0031976;-0;0
54;1;0;0.684317;0.833638;0.616863;1.33122;;;-0.0674536;-0;-0
55;1;0;0.654598;0.829984;0.61092;1.33122;;;-0.0436784;-0;0
56;1;0;0.854655;0.830478;0.650931;1.33122;;;-0.203724;-0;-0
57;1;0;0.625286;0.826455;0.605057;1.33122;;;-0.0202288;-0;0
58;1;0;0.705347;0.824126;0.621069;1.33122;;;-0.0842776;-0;-0
59;1;0;0.667425;0.821169;0.613485;1.33122;;;-0.05394;-0;0
60;1;0;0.839663;0.821511;0.647933;1.33122;;;-0.19173;-0;-0
61;1;0;0.622251;0.817888;0.60445;1.33122;;;-0.0178008;-0;0
62;1;0;0.698866;0.815763;0.619773;1.33122;;;-0.0790928;-0;-0
63;1;0;0.635109;0.812594;0.607022;1.33122;;;-0.0280872;-0;0
64;1;0;0.863385;0.813469;0.652677;1.33122;;;-0.210708;-0;-0
65;1;0;0.664145;0.810939;0.612829;1.33122;;;-0.051316;-0;0
66;1;0;0.737394;0.809713;0.627479;1.33122;;;-0.109915;-0;-0
67;1;0;0.628305;0.806739;0.605661;1.33122;;;-0.022644;-0;0
68;1;0;0.880591;0.80793;0.656118;1.33122;;;-0.224473;-0;-0
69;1;0;0.595706;0.804561;0.599141;1.33122;;;0.0034352;-0;0
