POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;37.1256;61.8759;61.8759;-21.2853;12.3752;;;-41.5806;-20.7903;-20.7903
5;1;37.1256;5.2921;33.584;112.253;61.8759;;;53.4802;5.94979;47.5304
6;1;37.1256;55.6061;40.9247;-27.2789;12.3752;;;-31.0473;-9.57388;-42.2638
7;1;37.1256;5.6751;32.1123;117.298;61.8759;;;52.8368;16.8445;41.9421
8;1;37.1256;68.9234;39.4745;-47.4913;12.3752;;;-53.4204;-9.86571;-53.1286
9;1;37.1256;5.66239;33.8392;128.223;61.8759;;;52.8581;16.5633;53.1393
10;1;37.1256;63.3398;38.0536;-34.6059;12.3752;;;-44.04;-5.45666;-48.4491
11;1;37.1256;5.9222;34.0371;127.329;61.8759;;;52.4216;20.7541;48.2308
12;1;37.1256;79.5862;39.0981;-68.5383;12.3752;;;-71.3339;-14.9128;-61.8778
13;1;37.1256;5.94492;35.7828;131.466;61.8759;;;52.3835;11.2789;61.8587
14;1;37.1256;64.3869;38.3832;-42.1239;12.3752;;;-45.799;-11.6206;-49.0912
15;1;37.1256;6.01398;35.6858;121.828;61.8759;;;52.2674;14.5132;49.0332
16;1;37.1256;78.0789;38.9468;-71.145;12.3752;;;-68.8017;-19.8877;-60.5346
17;1;37.1256;5.68792;36.5711;125.832;61.8759;;;52.8152;6.51992;60.8084
18;1;37.1256;63.6126;38.3739;-45.2716;12.3752;;;-44.4983;-15.7292;-48.6567
19;1;37.1256;5.86571;36.3421;117.419;61.8759;;;52.5165;10.5291;48.5074
20;1;37.1256;76.8881;38.7272;-72.4434;12.3752;;;-66.8011;-22.8715;-59.6588
21;1;37.1256;5.49334;36.8809;122.307;61.8759;;;53.1421;3.69954;59.9716
22;1;37.1256;63.0745;38.2595;-46.9854;12.3752;;;-43.5942;-18.0975;-48.3681
23;1;37.1256;5.66042;36.6295;115.083;61.8759;;;52.8614;8.33317;48.2278
24;1;37.1256;78.2413;38.611;-78.0052;12.3752;;;-69.0745;-26.2041;-60.968
25;1;37.1256;5.66243;37.1134;119.712;61.8759;;;52.8581;0.224952;60.9663
26;1;37.1256;65.2021;38.3346;-55.3393;12.3752;;;-47.1687;-23.3594;-50.0134
27;1;37.1256;5.84483;36.9809;111.173;61.8759;;;52.5516;2.91643;49.8601
28;1;37.1256;78.8886;38.6572;-84.7945;12.3752;;;-70.1618;-32.1645;-61.3567
29;1;37.1256;5.81698;37.3941;113.93;61.8759;;;52.5984;-5.86529;61.3801
30;1;37.1256;66.0262;38.4546;-63.2445;12.3752;;;-48.5531;-30.1419;-50.5758
31;1;37.1256;5.93821;37.2933;104.862;61.8759;;;52.3947;-3.9445;50.4739
32;1;37.1256;81.6445;38.8226;-98.081;12.3752;;;-74.7918;-41.3404;-63.5933
33;1;37.1256;5.9401;37.7265;106.779;61.8759;;;52.3916;-15.1446;63.5917
34;1;37.1256;65.1867;38.6123;-70.4392;12.3752;;;-47.1428;-38.716;-49.7672
35;1;37.1256;5.57189;37.5798;96.4475;61.8759;;;53.0101;-12.2109;50.0765
36;1;37.1256;78.627;38.8237;-99.534;12.3752;;;-69.7225;-47.0722;-61.3663
37;1;37.1256;5.25793;37.8365;100.122;61.8759;;;53.5376;-20.3034;61.6301
38;1;37.1256;60.5918;38.4866;-65.3271;12.3752;;;-39.4233;-40.0151;-46.4805
39;1;37.1256;5.44757;37.5689;91.5822;61.8759;;;53.219;-13.4056;46.3212
40;1;37.1256;77.0602;38.6362;-97.1353;12.3752;;;-67.0902;-46.9507;-60.1546
41;1;37.1256;5.27441;37.7582;98.8887;61.8759;;;53.5099;-20.1957;60.3001
42;1;37.1256;60.7701;38.3483;-65.6264;12.3752;;;-39.7229;-40.0572;-46.6164
43;1;37.1256;5.51372;37.5274;91.5338;61.8759;;;53.1079;-13.5032;46.4154
44;1;37.1256;77.5031;38.5024;-98.2225;12.3752;;;-67.8342;-47.4203;-60.471
45;1;37.1256;5.36555;37.7135;98.5759;61.8759;;;53.3568;-20.7419;60.5955
46;1;37.1256;61.949;38.2771;-68.8781;12.3752;;;-41.7034;-41.5936;-47.5301
47;1;37.1256;5.6378;37.5353;90.6947;61.8759;;;52.8994;-15.1439;47.3014
48;1;37.1256;76.8234;38.4084;-98.155;12.3752;;;-66.6924;-48.4901;-59.7959
49;1;37.1256;5.56919;37.6945;96.4547;61.8759;;;53.0147;-21.9828;59.8536
50;1;37.1256;62.8842;38.2304;-72.155;12.3752;;;-43.2746;-43.6201;-48.1446
51;1;37.1256;5.68386;37.5524;89.3452;61.8759;;;52.822;-17.209;48.0483
52;1;37.1256;78.6803;38.3917;-104.564;12.3752;;;-69.812;-52.1151;-61.317
53;1;37.1256;5.40294;37.7319;94.7819;61.8759;;;53.294;-25.4681;61.553
54;1;37.1256;64.965;38.2659;-80.6907;12.3752;;;-46.7704;-48.8533;-50.0322
55;1;37.1256;6.02361;37.6459;85.0581;61.8759;;;52.2513;-22.7276;49.5108
56;1;37.1256;79.0829;38.4277;-110.747;12.3752;;;-70.4883;-57.9718;-61.3698
57;1;37.1256;5.73724;37.8223;88.4744;61.8759;;;52.7324;-31.6056;61.6104
58;1;37.1256;64.2672;38.3031;-84.9006;12.3752;;;-45.598;-54.4046;-49.1652
59;1;37.1256;6.03948;37.727;78.8831;61.8759;;;52.2246;-28.2923;48.9113
60;1;37.1256;80.3218;38.4743;-119.222;12.3752;;;-72.5696;-64.5771;-62.3971
61;1;37.1256;5.72441;37.9096;82.9399;61.8759;;;52.7539;-38.2002;62.6618
62;1;37.1256;64.5025;38.3604;-92.0611;12.3752;;;-45.9932;-61.1968;-49.3736
63
