0.1/0.0/0.0.csv;0.2/0.0/0.0.csv;0.3/0.0/0.0.csv;0.4/0.0/0.0.csv;0.5/0.0/0.0.csv;0.6/0.0/0.0.csv;0.7/0.0/0.0.csv;0.8/0.0/0.0.csv;0.9/0.0/0.0.csv;1.0/0.0/0.0.csv;1.1/0.0/0.0.csv;1.2/0.0/0.0.csv;1.3/0.0/0.0.csv;1.4/0.0/0.0.csv;1.5/0.0/0.0.csv;1.6/0.0/0.0.csv;1.7/0.0/0.0.csv;1.8/0.0/0.0.csv;1.9/0.0/0.0.csv;2.0/0.0/0.0.csv
6.19899;6.19343;6.20618;6.19846;6.19158;6.2111;6.20347;6.19857;6.20263;6.196;6.19517;6.1983;6.19227;6.2105;6.2096;6.19744;6.20123;6.20805;6.19979;6.19889
8.68016;8.6448;8.54873;8.4969;8.42097;8.37172;8.33511;8.27025;8.22353;8.20621;8.14661;8.08999;7.99618;7.97594;7.94335;7.88391;7.90732;7.88857;7.86769;7.85731
8.0785;8.09902;8.06938;8.07537;7.99377;7.55066;7.04849;6.54891;6.12399;5.78418;5.62412;5.62075;5.85164;5.9774;6.01683;5.80718;5.54417;5.33886;5.00146;4.88926
8.83487;9.00492;8.99395;9.01473;8.61574;7.75653;7.12625;6.71736;6.5223;6.46292;6.509;6.54107;6.50386;6.43193;6.44757;6.57121;6.83863;7.27385;7.92527;8.38055
8.56455;8.57959;8.61707;8.61231;8.53917;7.54478;6.84913;6.51339;6.25419;6.16209;6.08233;6.09504;6.07718;6.16031;6.11288;6.11584;6.32094;6.46603;5.46223;4.5328
11.6872;11.6581;11.6757;11.6284;11.6669;10.1594;9.32073;9.0143;8.8415;8.72742;8.69135;8.64208;8.59708;8.61637;8.65736;8.64703;8.54266;8.63527;9.51366;11.7722
8.72039;8.82799;8.72089;8.68774;8.71936;8.72562;8.17157;7.43451;6.81245;6.25864;6.18699;6.24751;6.37423;6.47243;6.50894;6.07626;5.77476;5.26563;3.60024;0.863419
8.91388;9.05249;9.00051;9.05217;8.94884;8.71271;7.76736;7.09022;6.71696;6.51586;6.45729;6.36103;6.30939;6.43756;6.33041;6.32878;6.69152;7.38823;9.06734;9.25982
8.71879;8.76341;8.65012;8.71372;8.70727;8.3146;7.28195;6.7369;6.35248;6.21342;6.1988;6.0805;6.0231;6.08294;6.18541;6.1032;6.27712;6.39058;4.33391;3.33369
11.6431;11.7522;11.7736;11.7121;11.7139;10.8668;9.61487;9.08263;8.78202;8.74797;8.69598;8.61922;8.68004;8.60746;8.48876;8.4917;8.44857;8.55181;11.7244;11.7413
8.53149;8.60647;8.61174;8.54005;8.54608;8.53077;8.25962;7.3204;6.71979;6.19463;6.1591;6.17728;6.25921;6.32572;6.31552;6.23118;5.92991;5.31243;0.809965;0.820452
8.88827;8.86735;8.82929;8.84122;8.84616;8.36946;7.73894;6.89646;6.52095;6.29235;6.25173;6.25004;6.25183;6.15876;6.28426;6.2165;6.28384;7.2462;8.97219;9.08706
8.56151;8.53073;8.53841;8.4722;8.48255;7.8563;7.08804;6.47737;6.19856;6.11404;6.01819;6.04289;5.96784;5.94013;5.99822;5.93432;6.03046;6.26451;4.35398;3.6329
11.4683;11.545;11.5206;11.5382;11.403;10.2613;9.31779;8.85938;8.62321;8.60533;8.58903;8.51924;8.5085;8.49715;8.47338;8.53144;8.32307;8.37511;11.5809;11.532
8.50297;8.54763;8.55853;8.54144;8.54869;8.56184;8.07238;7.19606;6.54028;6.18706;6.12062;6.2196;6.18893;6.30885;6.30495;6.19002;6.04213;5.50383;0.816081;0.814755
8.74948;8.87243;8.82166;8.7979;8.72616;8.29424;7.5824;6.9059;6.4339;6.32845;6.27977;6.30802;6.31751;6.28393;6.23908;6.18986;6.23503;6.90794;8.96635;8.90085
8.41113;8.41784;8.52192;8.49299;8.54858;7.83811;7.03866;6.48708;6.16015;6.15335;6.00467;6.05842;6.07256;5.99387;6.02224;6.06212;5.94519;6.09672;4.35545;3.91615
11.6788;11.7156;11.7589;11.795;11.6715;10.4473;9.49407;9.04388;8.75391;8.71299;8.7142;8.63935;8.58808;8.74513;8.60964;8.59368;8.58482;8.47852;11.7757;11.7916
8.66265;8.69572;8.69215;8.6725;8.61669;8.76103;8.26017;7.34508;6.81186;6.34115;6.17466;6.21985;6.23935;6.44504;6.40889;6.16252;5.71106;5.31288;0.817029;0.813322
9.00723;8.87552;8.9741;8.95384;8.84503;8.55025;7.76079;7.00427;6.58934;6.39219;6.39186;6.24177;6.25859;6.31258;6.28453;6.31739;6.61757;7.27851;9.0215;8.99229
8.59461;8.73327;8.67982;8.52853;8.71075;8.06078;7.13642;6.55514;6.38464;6.16893;6.1408;6.04709;6.07148;6.1053;6.1531;6.12116;6.25145;6.4195;4.32787;3.93353
11.7713;11.8194;11.77;11.7427;11.7688;10.7313;9.52341;9.03469;8.89346;8.80987;8.79013;8.71633;8.66473;8.68635;8.63534;8.68106;8.48199;8.61144;11.8415;11.8199
8.82037;8.81512;8.79974;8.81606;8.77739;8.81738;8.35794;7.49794;6.95898;6.41986;6.30257;6.29692;6.33669;6.42287;6.46401;6.18887;5.79209;5.35856;0.855005;0.862765
9.02193;9.07013;9.05599;9.06754;9.07629;8.72957;7.90959;7.16495;6.77754;6.54705;6.49246;6.3891;6.36649;6.44972;6.45492;6.39335;6.72661;7.36157;9.25936;9.24429
8.93205;8.88515;8.9529;8.90858;9.01225;8.48809;7.48526;6.91407;6.60631;6.44611;6.34859;6.22739;6.3041;6.27079;6.34974;6.28367;6.49844;6.55127;4.12276;3.53283
11.9916;11.9968;12.118;12.0534;12.0288;11.344;9.99699;9.40581;9.20221;9.02914;8.90339;8.8549;8.83851;8.83753;8.87963;8.82941;8.78142;8.77362;11.961;12.0389
8.78762;8.83441;8.78747;8.74568;8.77858;8.81113;8.64973;7.66235;7.03163;6.40737;6.34756;6.38548;6.40959;6.44436;6.33123;6.02271;5.55422;5.1723;0.868771;0.851524
8.8013;8.86225;8.98534;8.85438;8.87263;8.55992;7.92366;7.08629;6.60508;6.36719;6.28697;6.30448;6.28345;6.29164;6.36354;6.25771;6.81101;7.42442;8.93182;8.95678
8.39933;8.34463;8.40967;8.38645;8.32096;7.91905;7.01321;6.44727;6.17597;6.05862;5.94648;5.88809;5.95086;6.15684;5.96767;5.91169;6.26864;6.16822;4.37979;3.85598
11.7243;11.7885;11.8065;11.7763;11.558;10.6332;9.54076;9.00981;8.86632;8.80091;8.8187;8.83559;8.79858;8.76911;8.7328;8.93729;8.66483;8.69009;11.8614;11.8451
8.22192;8.24102;8.19388;8.19404;8.22037;8.25843;7.87513;6.9341;6.47296;6.01462;5.95183;6.02652;6.06347;6.14071;6.13398;5.61766;5.37453;5.04762;0.757308;0.779608
8.09386;8.07906;8.11818;8.14387;7.86657;7.52464;6.91176;6.33704;6.00196;5.87784;5.89258;5.85394;5.82709;5.80279;5.93933;6.2197;6.4221;6.97981;8.21742;8.18248
7.99933;8.0609;8.11571;7.95776;7.44782;6.83995;6.2709;6.03614;5.86958;5.86809;5.83959;5.82713;5.92507;5.87276;5.87644;5.80628;5.90462;5.83608;4.9944;4.71264
11.331;11.3446;11.4709;11.0809;10.238;9.31512;8.68697;8.59149;8.51102;8.45543;8.45746;8.50929;8.46739;8.54249;8.56064;8.59156;8.46587;8.58481;10.1852;10.9222
8.16418;8.17407;8.22197;8.18642;8.15002;8.16998;7.3564;6.80746;6.4181;5.98857;6.07598;6.08762;6.19885;6.04015;6.14779;5.47441;5.56081;5.01864;2.12721;0.77782
